Gene stable ID	HGNC symbol
ENSG00000006047	YBX2
ENSG00000008197	TFAP2D
ENSG00000010165	METTL13
ENSG00000033867	SLC4A7
ENSG00000038219	BOD1L1
ENSG00000042781	USH2A
ENSG00000047936	ROS1
ENSG00000060718	COL11A1
ENSG00000065534	MYLK
ENSG00000068878	PSME4
ENSG00000069122	GPR116
ENSG00000070413	DGCR2
ENSG00000070526	ST6GALNAC1
ENSG00000070814	TCOF1
ENSG00000072818	ACAP1
ENSG00000075073	TACR2
ENSG00000080503	SMARCA2
ENSG00000081026	MAGI3
ENSG00000086289	EPDR1
ENSG00000086570	FAT2
ENSG00000089048	ESF1
ENSG00000089101	C20orf26
ENSG00000090686	USP48
ENSG00000092054	MYH7
ENSG00000093010	COMT
ENSG00000099889	ARVCF
ENSG00000100099	HPS4
ENSG00000100109	TFIP11
ENSG00000101446	SPINT3
ENSG00000101596	SMCHD1
ENSG00000103494	RPGRIP1L
ENSG00000104808	DHDH
ENSG00000105976	MET
ENSG00000106069	CHN2
ENSG00000107625	DDX50
ENSG00000108375	RNF43
ENSG00000108654	DDX5
ENSG00000109466	KLHL2
ENSG00000109501	WFS1
ENSG00000111647	UHRF1BP1L
ENSG00000114115	RBP1
ENSG00000115414	FN1
ENSG00000115756	HPCAL1
ENSG00000115816	CEBPZ
ENSG00000115944	COX7A2L
ENSG00000116031	CD207
ENSG00000116127	ALMS1
ENSG00000116704	SLC35D1
ENSG00000116824	CD2
ENSG00000117480	FAAH
ENSG00000119004	CYP20A1
ENSG00000120616	EPC1
ENSG00000123454	DBH
ENSG00000124275	MTRR
ENSG00000125319	C17orf53
ENSG00000127418	FGFRL1
ENSG00000128185	DGCR6L
ENSG00000128849	CGNL1
ENSG00000129744	ART1
ENSG00000130299	GTPBP3
ENSG00000130779	CLIP1
ENSG00000132139	GAS2L2
ENSG00000132361	CLUH
ENSG00000132938	MTUS2
ENSG00000133110	POSTN
ENSG00000133401	PDZD2
ENSG00000133460	SLC2A11
ENSG00000133619	KRBA1
ENSG00000133739	LRRCC1
ENSG00000133958	UNC79
ENSG00000134215	VAV3
ENSG00000134248	LAMTOR5
ENSG00000134765	DSC1
ENSG00000134775	FHOD3
ENSG00000135318	NT5E
ENSG00000135828	RNASEL
ENSG00000136205	TNS3
ENSG00000137198	GMPR
ENSG00000137563	GGH
ENSG00000138119	MYOF
ENSG00000138604	GLCE
ENSG00000138621	PPCDC
ENSG00000138759	FRAS1
ENSG00000139697	SBNO1
ENSG00000140470	ADAMTS17
ENSG00000142556	ZNF614
ENSG00000142621	FHAD1
ENSG00000143776	CDC42BPA
ENSG00000144535	DIS3L2
ENSG00000145348	TBCK
ENSG00000145536	ADAMTS16
ENSG00000146409	SLC18B1
ENSG00000146904	EPHA1
ENSG00000147576	ADHFE1
ENSG00000148143	ZNF462
ENSG00000148356	LRSAM1
ENSG00000148690	FRA10AC1
ENSG00000152092	ASTN1
ENSG00000152223	EPG5
ENSG00000152270	PDE3B
ENSG00000152582	SPEF2
ENSG00000153237	CCDC148
ENSG00000153303	FRMD1
ENSG00000153707	PTPRD
ENSG00000154447	SH3RF1
ENSG00000155657	TTN
ENSG00000156575	PRG3
ENSG00000157326	DHRS4
ENSG00000158234	FAIM
ENSG00000158497	HMHB1
ENSG00000158764	ITLN2
ENSG00000160183	TMPRSS3
ENSG00000160299	PCNT
ENSG00000160712	IL6R
ENSG00000161031	PGLYRP2
ENSG00000161270	NPHS1
ENSG00000161328	LRRC56
ENSG00000162877	PM20D1
ENSG00000162896	PIGR
ENSG00000162946	DISC1
ENSG00000163599	CTLA4
ENSG00000165323	FAT3
ENSG00000165480	SKA3
ENSG00000166317	SYNPO2L
ENSG00000168116	KIAA1586
ENSG00000168143	FAM83B
ENSG00000168502	SOGA2
ENSG00000168569	TMEM223
ENSG00000168743	NPNT
ENSG00000169021	UQCRFS1
ENSG00000169071	ROR2
ENSG00000169282	KCNAB1
ENSG00000170456	DENND5B
ENSG00000171102	OBP2B
ENSG00000171302	CANT1
ENSG00000171495	MROH2B
ENSG00000172766	NAA16
ENSG00000172819	RARG
ENSG00000173588	CCDC41
ENSG00000174226	SNX31
ENSG00000174844	DNAH12
ENSG00000176170	SPHK1
ENSG00000176219	OR11H6
ENSG00000179630	LACC1
ENSG00000180376	CCDC66
ENSG00000180773	SLC36A4
ENSG00000181240	SLC25A41
ENSG00000181915	ADO
ENSG00000182149	IST1
ENSG00000182329	
ENSG00000182698	RESP18
ENSG00000183036	PCP4
ENSG00000183137	CEP57L1
ENSG00000184220	CMSS1
ENSG00000184811	TUSC5
ENSG00000184916	JAG2
ENSG00000185842	DNAH14
ENSG00000185920	PTCH1
ENSG00000187144	SPATA21
ENSG00000187535	IFT140
ENSG00000187766	KRTAP10-8
ENSG00000187775	DNAH17
ENSG00000188655	RNASE9
ENSG00000196159	FAT4
ENSG00000196208	GREB1
ENSG00000196277	GRM7
ENSG00000196387	ZNF140
ENSG00000196932	TMEM26
ENSG00000197386	HTT
ENSG00000197410	DCHS2
ENSG00000197415	VEPH1
ENSG00000197442	MAP3K5
ENSG00000198246	SLC29A3
ENSG00000204038	
ENSG00000204740	MALRD1
ENSG00000205213	LGR4
ENSG00000205726	ITSN1
ENSG00000206560	ANKRD28
ENSG00000211816	TRAV38-1
ENSG00000213996	TM6SF2
ENSG00000214309	MBLAC1
ENSG00000221864	KRTAP12-2
ENSG00000221923	ZNF880
ENSG00000241635	UGT1A8
ENSG00000243135	UGT1A3
ENSG00000253110	
ENSG00000253320	
ENSG00000255423	EBLN2
ENSG00000261923	PDE3B
ENSG00000262840	DNAH12
ENSG00000268217	
