Gene stable ID	HGNC symbol
ENSG00000005421	PON1
ENSG00000006071	ABCC8
ENSG00000006659	LGALS14
ENSG00000012822	CALCOCO1
ENSG00000036565	SLC18A1
ENSG00000038219	BOD1L1
ENSG00000042286	AIFM2
ENSG00000042832	TG
ENSG00000054690	PLEKHH1
ENSG00000064218	DMRT3
ENSG00000065534	MYLK
ENSG00000065618	COL17A1
ENSG00000068097	HEATR6
ENSG00000068784	SRBD1
ENSG00000070601	FRMPD1
ENSG00000070886	EPHA8
ENSG00000075702	WDR62
ENSG00000076344	RGS11
ENSG00000077238	IL4R
ENSG00000078053	AMPH
ENSG00000079308	TNS1
ENSG00000079393	DUSP13
ENSG00000082805	ERC1
ENSG00000084734	GCKR
ENSG00000087460	GNAS
ENSG00000087586	AURKA
ENSG00000089012	SIRPG
ENSG00000090376	IRAK3
ENSG00000091583	APOH
ENSG00000096093	EFHC1
ENSG00000099958	DERL3
ENSG00000100225	FBXO7
ENSG00000100395	L3MBTL2
ENSG00000100568	VTI1B
ENSG00000100583	SAMD15
ENSG00000101187	SLCO4A1
ENSG00000105186	ANKRD27
ENSG00000105261	OVOL3
ENSG00000105467	SYNGR4
ENSG00000105877	DNAH11
ENSG00000106125	FAM188B
ENSG00000106565	TMEM176B
ENSG00000109689	STIM2
ENSG00000111602	TIMELESS
ENSG00000111816	FRK
ENSG00000112033	PPARD
ENSG00000112699	GMDS
ENSG00000112769	LAMA4
ENSG00000112936	C7
ENSG00000113889	KNG1
ENSG00000114115	RBP1
ENSG00000114124	GRK7
ENSG00000114805	PLCH1
ENSG00000115761	NOL10
ENSG00000116791	CRYZ
ENSG00000116962	NID1
ENSG00000117174	ZNHIT6
ENSG00000119285	HEATR1
ENSG00000119977	TCTN3
ENSG00000120675	DNAJC15
ENSG00000120907	ADRA1A
ENSG00000120913	PDLIM2
ENSG00000121316	PLBD1
ENSG00000121904	CSMD2
ENSG00000122966	CIT
ENSG00000123243	ITIH5
ENSG00000124299	PEPD
ENSG00000125046	SSUH2
ENSG00000125375	ATP5S
ENSG00000125810	CD93
ENSG00000125844	RRBP1
ENSG00000125863	MKKS
ENSG00000126803	HSPA2
ENSG00000127720	METTL25
ENSG00000128512	DOCK4
ENSG00000129422	MTUS1
ENSG00000129514	FOXA1
ENSG00000130201	EXOC3L2
ENSG00000130414	NDUFA10
ENSG00000130513	GDF15
ENSG00000130702	LAMA5
ENSG00000130881	LRP3
ENSG00000132294	EFR3A
ENSG00000133067	LGR6
ENSG00000133808	MICALCL
ENSG00000134121	CHL1
ENSG00000134201	GSTM5
ENSG00000134216	CHIA
ENSG00000134917	ADAMTS8
ENSG00000136213	CHST12
ENSG00000138119	MYOF
ENSG00000138823	MTTP
ENSG00000139044	B4GALNT3
ENSG00000139263	LRIG3
ENSG00000139567	ACVRL1
ENSG00000139610	CELA1
ENSG00000139971	C14orf37
ENSG00000139985	ADAM21
ENSG00000140470	ADAMTS17
ENSG00000140853	NLRC5
ENSG00000140873	ADAMTS18
ENSG00000141431	ASXL3
ENSG00000141527	CARD14
ENSG00000142657	PGD
ENSG00000143819	EPHX1
ENSG00000144357	UBR3
ENSG00000145555	MYO10
ENSG00000145794	MEGF10
ENSG00000145826	LECT2
ENSG00000145901	TNIP1
ENSG00000146383	TAAR6
ENSG00000146535	GNA12
ENSG00000146833	TRIM4
ENSG00000148219	ASTN2
ENSG00000148384	INPP5E
ENSG00000148602	LRIT1
ENSG00000148942	SLC5A12
ENSG00000149968	MMP3
ENSG00000150457	LATS2
ENSG00000150510	FAM124A
ENSG00000150627	WDR17
ENSG00000151834	GABRA2
ENSG00000152061	RABGAP1L
ENSG00000152785	BMP3
ENSG00000152910	CNTNAP4
ENSG00000153253	SCN3A
ENSG00000153790	C7orf31
ENSG00000153930	ANKFN1
ENSG00000154258	ABCA9
ENSG00000154839	SKA1
ENSG00000155657	TTN
ENSG00000156011	PSD3
ENSG00000156030	ELMSAN1
ENSG00000157578	LCA5L
ENSG00000157890	MEGF11
ENSG00000159231	CBR3
ENSG00000161179	YDJC
ENSG00000161533	ACOX1
ENSG00000162408	NOL9
ENSG00000162542	TMCO4
ENSG00000162594	IL23R
ENSG00000163116	STPG2
ENSG00000163464	CXCR1
ENSG00000163535	SGOL2
ENSG00000163599	CTLA4
ENSG00000163697	APBB2
ENSG00000163803	PLB1
ENSG00000164151	KIAA0947
ENSG00000164828	SUN1
ENSG00000164850	GPER1
ENSG00000166148	AVPR1A
ENSG00000166341	DCHS1
ENSG00000167202	TBC1D2B
ENSG00000167618	LAIR2
ENSG00000167889	MGAT5B
ENSG00000168334	XIRP1
ENSG00000168589	DYNLRB2
ENSG00000169116	PARM1
ENSG00000169136	ATF5
ENSG00000169876	MUC17
ENSG00000170948	MBD3L1
ENSG00000171722	C1orf111
ENSG00000172995	ARPP21
ENSG00000173114	LRRN3
ENSG00000173801	JUP
ENSG00000174177	CTU2
ENSG00000174684	B3GNT1
ENSG00000176200	OR4D11
ENSG00000176510	OR10AC1P
